restaurant_title,restaurant_address,restaurant_page,restaurant_note
50pizza焗烤專賣店（台南新營中正店）,臺南市新營區中正路58號,https://ifoodie.tw/restaurant/64e366338d3df3bf51ad9ce4--pizza%E7%84%97%E7%83%A4%E5%B0%88%E8%B3%A3%E5%BA%97-%E5%8F%B0%E5%8D%97%E6%96%B0%E7%87%9F%E4%B8%AD%E6%AD%A3%E5%BA%97-,https://ifoodie.tw/blog/64e364891580c64b96dd2960/link
沈記豬頭飯,台南市新營區民治路208號,https://ifoodie.tw/restaurant/620cfbec7cc7fc5441c05616-%E6%B2%88%E8%A8%98%E8%B1%AC%E9%A0%AD%E9%A3%AF,
麥味登 新營店,臺南市新營區三民路131之1號,https://ifoodie.tw/restaurant/64ac070301ba33651e8fad9d-%E9%BA%A5%E5%91%B3%E7%99%BB-%E6%96%B0%E7%87%9F%E5%BA%97,https://ifoodie.tw/blog/64ac057b8324a93342d4ef28/link
悟饕池上飯包 - 新營圓環店,臺南市新營區中山路146號,https://ifoodie.tw/restaurant/64a2cd6401ba3325ee909dc4-%E6%82%9F%E9%A5%95%E6%B1%A0%E4%B8%8A%E9%A3%AF%E5%8C%85-%E6%96%B0%E7%87%9F%E5%9C%93%E7%92%B0%E5%BA%97,https://ifoodie.tw/blog/64a2cb0aa1c6d2629d4a3030/link
石二鍋 台南新營三民店,臺南市新營區三民路116號之1,https://ifoodie.tw/restaurant/6518f8a33185373f58596f67-%E7%9F%B3%E4%BA%8C%E9%8D%8B-%E5%8F%B0%E5%8D%97%E6%96%B0%E7%87%9F%E4%B8%89%E6%B0%91%E5%BA%97,https://ifoodie.tw/blog/6466260e9793492a7650ff5b/link
華味香鴨肉羹,臺南市新營區延平路29號,https://ifoodie.tw/restaurant/55a53687c03a10241de6523e-%E8%8F%AF%E5%91%B3%E9%A6%99%E9%B4%A8%E8%82%89%E7%BE%B9,https://ifoodie.tw/blog/645b97b894b24841d12ab424/link
潮味決．湯滷專門店 台南新營分社,臺南市新營區東興路330號,https://ifoodie.tw/restaurant/6458f88601ba33034f215377-%E6%BD%AE%E5%91%B3%E6%B1%BA-%E6%B9%AF%E6%BB%B7%E5%B0%88%E9%96%80%E5%BA%97-%E5%8F%B0%E5%8D%97%E6%96%B0%E7%87%9F%E5%88%86%E7%A4%BE,https://ifoodie.tw/blog/6458f70003251114b2223870/link
品廚牛排,臺南市新營區中正路27之1號,https://ifoodie.tw/restaurant/61e02b587cc7fc75406f738d-%E5%93%81%E5%BB%9A%E7%89%9B%E6%8E%92,https://ifoodie.tw/blog/6453afda6137780b172010cb/link
早安早點,臺南市新營區民權路98號,https://ifoodie.tw/restaurant/644fbdde01ba330c7d86fe87-%E6%97%A9%E5%AE%89%E6%97%A9%E9%BB%9E,https://ifoodie.tw/blog/644fbc78cac8f966300361c5/link
阿崑日式小吃,臺南市新營區南紙街37號,https://ifoodie.tw/restaurant/643e9b6f01ba3364f65dabe9-%E9%98%BF%E5%B4%91%E6%97%A5%E5%BC%8F%E5%B0%8F%E5%90%83,https://ifoodie.tw/blog/643e998f8ec68750d81f202d/link
台灣第一家鹽酥雞 新營中山店,臺南市新營區中山路235號,https://ifoodie.tw/restaurant/6438030e01ba333e0c86465a-%E5%8F%B0%E7%81%A3%E7%AC%AC%E4%B8%80%E5%AE%B6%E9%B9%BD%E9%85%A5%E9%9B%9E-%E6%96%B0%E7%87%9F%E4%B8%AD%E5%B1%B1%E5%BA%97,https://ifoodie.tw/blog/64380182b3d7226889f9a568/link
五億雞排 新營店,臺南市新營區民權路60之1號,https://ifoodie.tw/restaurant/61e02b597cc7fc75406f738f-%E4%BA%94%E5%84%84%E9%9B%9E%E6%8E%92-%E6%96%B0%E7%87%9F%E5%BA%97,https://ifoodie.tw/blog/6423882701ba3315b4261e40/link
